"param","estimate",".lower",".upper","species"
"Minimum average mass (g)",115.990030811792,108.807603274139,122.501408851833,"Red knot"
"Maximum average mass (g)",178.816906789886,169.673300275335,189.106537864395,"Red knot"
"Inflection point (day)",22.1390995410933,20.7960109578803,23.5812442687975,"Red knot"
"Maximum slope (g/day)",11.7259687441882,4.00142117176168,19.109183040483,"Red knot"
"Minimum average mass (g)",98.868757483073,96.3304955724928,101.567631029448,"Ruddy turnstone"
"Maximum average mass (g)",160.670674568689,153.795834539948,168.654228152314,"Ruddy turnstone"
"Inflection point (day)",24.0075964187188,22.9931718703707,25.1233885134858,"Ruddy turnstone"
"Maximum slope (g/day)",7.29810954286904,5.26366089760865,9.7529975634782,"Ruddy turnstone"
