"param","estimate",".lower",".upper","species"
"Minimum average mass (g)",0.0969813409179881,0.0488132639739385,0.161495905524131,"Red knot"
"Maximum average mass (g)",0.0681610665344319,0.0261449911542179,0.114896351889013,"Red knot"
"Inflection point (day)",0.126634199337405,0.077653389422961,0.195304615058009,"Red knot"
"Maximum slope (g/day)",0.810580544645294,0.290369913536016,2.1817677643649,"Red knot"
"Minimum average mass (g)",0.0323074758857444,0.00761657135151071,0.0636803846941103,"Ruddy turnstone"
"Maximum average mass (g)",0.0339133079443379,0.00177268229424808,0.0800668400108375,"Ruddy turnstone"
"Inflection point (day)",0.11499848979511,0.0549984437304355,0.251271959195714,"Ruddy turnstone"
"Maximum slope (g/day)",0.27134774265472,0.148139568322069,0.44568817482719,"Ruddy turnstone"
