"State","Year","type","tot.sqm","vartot","lcl90","ucl90"
"DE",2003,"Females",0.624850974355948,0.0115878959498615,0.470651764427287,0.829570331322743
"DE",2004,"Females",0.70212685219539,0.00627745368696343,0.583174636933513,0.845342176000721
"DE",2005,"Females",0.60107464845083,0.00868253029926465,0.465777064680048,0.775673085703495
"DE",2006,"Females",0.741965609887236,0.00783712400811783,0.609738348467402,0.902867545790864
"DE",2007,"Females",0.882811726511425,0.00904200772879389,0.739464010862168,1.05394790418185
"DE",2008,"Females",0.717297035453086,0.00681338521807027,0.593591292094675,0.866783330419415
"DE",2009,"Females",0.756010269742978,0.00756045307759722,0.625692406641212,0.913470455914598
"DE",2010,"Females",0.735473011836118,0.0184300458221918,0.542870867358169,0.996407403056329
"DE",2011,"Females",0.657537595563346,0.00535635094660962,0.547523582410158,0.789656744420082
"DE",2012,"Females",0.474485308332942,0.0106066512133713,0.332014284036071,0.678092234728512
"DE",2013,"Females",0.88956363381553,0.0152074239937149,0.708172750991131,1.11741585298161
"DE",2014,"Females",0.572661775674138,0.00476779515003214,0.469631281025398,0.698295711057036
"DE",2015,"Females",0.72532169909597,0.0122436932611234,0.564343338296922,0.932218972881131
"DE",2016,"Females",0.76025209738253,0.0100642775248325,0.611906932436834,0.944560718200721
"DE",2017,"Females",0.591616479702509,0.00924601524543062,0.452819947354159,0.772956361796137
