"cov","estimate",".lower",".upper","species","pr","pr_less","pr_greater"
1,3.3705633261131,-9.65217654797263,15.6908077661254,"Red knot",0.20978,0.284552070422983,0.715447929577017
2,-4.06768229295658,-15.4883902289843,6.12284551388047,"Red knot",0.18444,0.800549410829177,0.199450589170823
3,-8.09664095346978,-22.8513250409373,3.55915291138599,"Red knot",0.355466666666667,0.920180045011253,0.0798199549887472
4,-0.345075392688836,-2.20783105291354,1.52039745996452,"Red knot",0.03046,0.657036550667542,0.342963449332458
5,-1.36567921845984,-2.72352242843812,0.0130746375274876,"Red knot",0.140926666666667,0.97379251620228,0.0262074837977199
6,0.824186795884211,-1.20455457124454,2.90727497300133,"Red knot",0.04292,0.203324013668841,0.796675986331159
1,0.833770053980765,-1.70055296417785,3.85350033834135,"Ruddy turnstone",0.124526666666667,0.250816424862145,0.749183575137855
2,0.337069171541048,-1.93088771700734,2.91811677315033,"Ruddy turnstone",0.08974,0.371294851794072,0.628705148205928
3,-0.685107310360198,-4.26098138490912,2.47758716546852,"Ruddy turnstone",0.131366666666667,0.685257548845471,0.314742451154529
4,-0.0646518581663145,-1.26996122238665,1.21954091714105,"Ruddy turnstone",0.0565466666666667,0.547040792265975,0.452959207734025
5,-0.519198665166238,-1.68955475723812,0.628459822113458,"Ruddy turnstone",0.0801866666666667,0.824825407382774,0.175174592617226
6,0.384775996519102,-1.19826597296171,1.95766204484222,"Ruddy turnstone",0.0805133333333333,0.304297424857166,0.695702575142834
